Name / Address
"""5 KIDS KANDY TFS-4 @GREENE CO FAIR Greene Co Fairgrounds  Waynesburg, PA 15370 724-627-0552"""
"""ASJS MINI MARKET LLC 536 BINGAMAN ST  Reading, PA 19603"""
"""BAGEL LOVERS, INC. 2237 Paxton Church RD  Harrisburg, PA 17110"""
"""DAYS INN HARRISBURG NORTH 3919 N Front ST  Harrisburg, PA 17110"""
"""Dunkin Donuts 134 N Mill ST  New Castle, PA 16101"""
"""ECUMENICAL COMMUNITY I 601 Wilhelm RD  Harrisburg, PA 17109"""
"""ECUMENICAL COMMUNITY II 624 Wilhelm RD  Harrisburg, PA 17109"""
"""ECUMENICAL COMMUNITY III 3525 Canby ST  Harrisburg, PA 17109"""
"""FRONT STREET DINER 4003 N Front Street  Harrisburg, PA 17110 717-379-2438"""
"""Golden Star 360 N River ST  Wilkes-Barre, PA 18705 570-829-3888"""
"""GREENE COUNTY FARM BOOTH TFS-4@ GREENE CO FAIR 200 E Roy Furman HWY  WAYNESBURG, PA 15370 724-451-8406"""
"""HAYWOODS HOTDOGS MFF-4 474 5th AVE  Waynesburg, PA 15370 724-627-7866"""
"""LIL JACKIES TFS - 4 @GREENE CO FAIR Greene Co Fairgounds  Waynesburg, PA 15370 724-678-2279"""
"""On Orange 108 W Orange ST  LANCASTER, PA 17603 717-299-5157"""
"""Save-A-Lot 1134 Butler AVE  New Castle, PA 16101"""
